Date,Clicks,Impressions,CTR,Position
2026-04-08,1,34,2.94%,3.9
2026-04-09,0,37,0%,4.3
2026-04-10,0,62,0%,4.6
2026-04-11,2,101,1.98%,5.2
2026-04-12,9,183,4.92%,5.9
2026-04-13,14,249,5.62%,5.7
2026-04-14,9,345,2.61%,5.3
2026-04-15,12,210,5.71%,5.7
2026-04-16,8,261,3.07%,5.6
2026-04-17,11,214,5.14%,6.1
2026-04-18,7,178,3.93%,5.3
2026-04-19,9,193,4.66%,6.4
2026-04-20,16,348,4.6%,5.4
2026-04-21,8,309,2.59%,5.7
2026-04-22,7,249,2.81%,5.8
2026-04-23,9,271,3.32%,5.5
2026-04-24,14,262,5.34%,4.9
2026-04-25,12,263,4.56%,5.9
2026-04-26,16,362,4.42%,4.8
2026-04-27,25,482,5.19%,5.1
2026-04-28,20,449,4.45%,4.9
2026-04-29,22,513,4.29%,4.7
2026-04-30,22,614,3.58%,5
2026-05-01,21,557,3.77%,5.5
2026-05-02,18,530,3.4%,5.7
