Country,Clicks,Impressions,CTR,Position
United States,66,2519,2.62%,6.11
India,34,706,4.82%,4.41
United Kingdom,19,365,5.21%,6.41
Australia,19,197,9.64%,4.43
Brazil,11,177,6.21%,4.36
Spain,9,81,11.11%,4.64
Canada,7,225,3.11%,5.12
Netherlands,7,105,6.67%,4.83
Singapore,7,89,7.87%,4.15
Japan,6,136,4.41%,5.15
France,6,96,6.25%,4.45
Thailand,6,52,11.54%,4.15
Germany,5,325,1.54%,5.48
Russia,5,60,8.33%,5.17
South Korea,4,104,3.85%,4.79
Turkey,4,99,4.04%,4.93
Colombia,4,56,7.14%,4.38
Indonesia,4,56,7.14%,4.54
Bangladesh,4,50,8%,4.82
Hong Kong,4,38,10.53%,4.45
Argentina,4,36,11.11%,4.28
Mexico,3,68,4.41%,4.51
Sweden,3,62,4.84%,3.79
Poland,3,62,4.84%,5.06
Iran,3,37,8.11%,6.19
Norway,3,26,11.54%,4.23
Chile,3,23,13.04%,3.91
Vietnam,2,94,2.13%,5.71
China,2,65,3.08%,6.74
Philippines,2,64,3.12%,4.67
Ukraine,2,59,3.39%,4.85
Switzerland,2,50,4%,4.56
Taiwan,2,46,4.35%,4.63
United Arab Emirates,2,45,4.44%,4.36
Malaysia,2,41,4.88%,5.78
Israel,2,36,5.56%,5.22
Belgium,2,36,5.56%,5.25
Bulgaria,2,28,7.14%,4.46
Austria,2,23,8.7%,6.78
Cambodia,2,14,14.29%,4.71
Italy,1,77,1.3%,4.26
Pakistan,1,64,1.56%,4.81
Saudi Arabia,1,31,3.23%,5.39
Romania,1,31,3.23%,6.32
Portugal,1,28,3.57%,5.39
New Zealand,1,25,4%,5.08
Hungary,1,20,5%,5.25
Egypt,1,18,5.56%,5.33
Georgia,1,18,5.56%,5.44
Bolivia,1,7,14.29%,5.14
Costa Rica,1,5,20%,3
Kyrgyzstan,1,3,33.33%,2.33
Uzbekistan,1,1,100%,1
Ireland,0,30,0%,7.3
Peru,0,25,0%,4.64
Nepal,0,22,0%,4.09
Finland,0,22,0%,4.82
Czechia,0,22,0%,5.73
Greece,0,20,0%,5.15
Nigeria,0,20,0%,6.15
Denmark,0,19,0%,4.11
Ecuador,0,19,0%,4.53
South Africa,0,19,0%,5.74
Serbia,0,18,0%,4.72
Estonia,0,13,0%,4.23
Lithuania,0,13,0%,4.62
Qatar,0,11,0%,4.55
Kenya,0,10,0%,4.1
Mauritius,0,8,0%,3.5
Guatemala,0,8,0%,4
Cyprus,0,7,0%,3.86
Slovenia,0,7,0%,4.29
Kazakhstan,0,7,0%,4.86
Ghana,0,7,0%,5.71
Morocco,0,6,0%,2.17
Belarus,0,6,0%,3.83
Azerbaijan,0,6,0%,4.33
Slovakia,0,6,0%,4.67
Palestine,0,6,0%,6.67
Dominican Republic,0,5,0%,3
Tunisia,0,5,0%,3.6
Sri Lanka,0,5,0%,4
Armenia,0,5,0%,4.2
Iraq,0,5,0%,6.4
Kuwait,0,5,0%,9.8
Latvia,0,4,0%,3
Croatia,0,4,0%,3.5
Jordan,0,4,0%,3.5
Trinidad & Tobago,0,4,0%,4.25
Venezuela,0,4,0%,4.25
Panama,0,4,0%,4.75
Zimbabwe,0,4,0%,5.5
Algeria,0,4,0%,5.75
Paraguay,0,4,0%,6.25
Myanmar (Burma),0,4,0%,10
Ethiopia,0,3,0%,1
Afghanistan,0,3,0%,3
Bosnia & Herzegovina,0,3,0%,4
Lebanon,0,3,0%,7
Moldova,0,3,0%,7.67
Bahamas,0,2,0%,1.5
Puerto Rico,0,2,0%,2
Uganda,0,2,0%,2
Montenegro,0,2,0%,3
Bhutan,0,2,0%,3.5
Mongolia,0,2,0%,4
Syria,0,2,0%,4.5
Cuba,0,2,0%,5
Mali,0,2,0%,5
Uruguay,0,2,0%,6.5
Albania,0,2,0%,7.5
Jamaica,0,2,0%,7.5
Malta,0,2,0%,9.5
Antigua & Barbuda,0,1,0%,1
Botswana,0,1,0%,1
Cameroon,0,1,0%,1
Nicaragua,0,1,0%,1
El Salvador,0,1,0%,1
Kosovo,0,1,0%,1
Barbados,0,1,0%,2
Macau,0,1,0%,2
Nauru,0,1,0%,2
Burkina Faso,0,1,0%,3
Guam,0,1,0%,3
Somalia,0,1,0%,3
Congo - Brazzaville,0,1,0%,4
Oman,0,1,0%,4
St. Kitts & Nevis,0,1,0%,5
Rwanda,0,1,0%,5
Togo,0,1,0%,5
Congo - Kinshasa,0,1,0%,6
Guernsey,0,1,0%,6
Luxembourg,0,1,0%,6
Curaçao,0,1,0%,7
Samoa,0,1,0%,7
American Samoa,0,1,0%,8
Maldives,0,1,0%,8
Sudan,0,1,0%,8
Swaziland,0,1,0%,8
Bahrain,0,1,0%,9
Liechtenstein,0,1,0%,9
Brunei,0,1,0%,10
