Top pages,Clicks,Impressions,CTR,Position
https://scribbble.app/,168,1617,10.39%,3.45
https://scribbble.app/best/best-screen-annotation-apps-mac,77,3515,2.19%,5.4
https://www.scribbble.app/best/best-screen-annotation-apps-mac,30,1487,2.02%,6.04
https://www.scribbble.app/,5,42,11.9%,2.33
https://www.scribbble.app/vs/epic-pen,3,339,0.88%,7.7
https://www.scribbble.app/for/streamers,2,288,0.69%,6.86
https://www.scribbble.app/vs/presentify,2,52,3.85%,6.71
https://www.scribbble.app/for/teachers,1,405,0.25%,7.81
https://www.scribbble.app/for/designers,1,217,0.46%,7.57
https://scribbble.app/best/best-screen-annotation-tools-for-teachers,1,147,0.68%,5.56
https://www.scribbble.app/best/best-screen-annotation-tools-for-teachers,1,136,0.74%,6.89
https://www.scribbble.app/vs/zoomit,1,124,0.81%,6.42
https://scribbble.app/for/youtubers,1,28,3.57%,6.14
https://www.scribbble.app/for/youtubers,0,77,0%,12.56
https://scribbble.app/for/designers,0,73,0%,7.23
https://scribbble.app/for/teachers,0,72,0%,7.49
https://scribbble.app/for/streamers,0,20,0%,7.55
